HTC_Top,1/HTC_Top,Part_Thickness,Tool_Thickness,HTC_Bottom,1/HTC_Bottom,Heat_Rate,exotherm,T_H50/,T_H60/,T_H70/,T_H80/,T_H90/,T_H100/,T_H110/,T_C150/,T_C120/,T_C90/,T_C60/,T_C30/,T_H50,T_H60,T_H70,T_H80,T_H90,T_H100,T_H110,T_C150,T_C120,T_C90,T_C60,T_C30,r_H50,r_H60,r_H70,r_H80,r_H90,r_H100,r_H110,r_C150,r_C120,r_C90,r_C60,r_C30
60,0.016666667,10,10,40,0.025,2,11.342601,7.4303694,8.6155113,9.37430225,9.79086865,10.1605742,10.53944615,10.7181979,5.618843143,8.477751714,9.507176,10.3587632,10.48829343,35.1392612,42.7689774,51.2513955,60.4182627,69.6788516,78.9211077,88.5636042,169.665951,149.672131,123.275116,96.2556712,66.709027,1.4869688,1.641474,1.7500732,1.826162,1.8776848,1.914138,1.9433932,-1.969792,-2.745108,-3.167232,-3.36748,-3.4747532
61,0.016393443,17.6,12.7,51,0.019607843,4.68,26.846042,5.045693483,6.177890556,7.209496132,8.041491154,8.920505748,9.634257949,10.17973677,6.435728571,9.931481714,11.86008714,12.95736714,13.37456089,26.3861545,31.0874722,36.2595581,42.3658214,48.2520331,54.9116728,62.3588319,172.52505,154.760186,131.510305,105.350785,76.8109631,1.9075076,2.2890928,2.5944896,2.85459,3.0459128,3.233458,3.4011068,-1.62936,-2.44032,-2.922104,-3.215016,-3.392942
37.3,0.026809651,2.01,11.3,87.8,0.011389522,3.16,1.44561,4.752632943,5.504864715,5.833715981,6.014621392,6.341076361,6.251109525,6.486871582,4.914550857,6.185241714,6.641708,6.799042943,6.615312886,34.9816799,42.6046275,51.5654575,60.9937964,69.9621987,80.2464939,89.5014858,167.200928,141.648346,113.245978,83.7966503,53.1535951,2.4161516,2.6691348,2.8454016,2.9568064,3.0219672,3.0712456,3.0993328,-2.49586,-3.220332,-3.428136,-3.4907608,-3.5101228
70.2,0.014245014,8.71,12.4,97.6,0.010245902,4.33,10.130859,4.049609977,4.718422148,5.308029469,5.67154709,5.934419931,6.234899954,6.367142887,4.753227429,6.447367143,6.720207429,6.979084486,6.861426971,32.4651888,39.5692321,47.0162324,55.4422011,64.3039617,73.0028832,82.4302713,166.636296,142.565785,113.520726,84.4267957,54.0149944,2.8046736,3.1869924,3.4433016,3.6578376,3.8137948,3.926314,4.018508,-2.47648,-3.171248,-3.426828,-3.5092488,-3.5383016
91.1,0.010976948,17.6,19.9,73.6,0.013586957,3.43,7.285528,7.138643936,8.804782857,10.19794111,11.51451513,12.49752872,13.31394122,14.1810305,7.06796,11.38463286,14.01206229,15.39015571,16.34080783,25.5144513,29.7995948,35.021062,40.5052131,47.1334765,54.3331816,61.3590654,174.73786,159.846215,139.042218,113.865545,87.1928274,1.2693744,1.6061048,1.890624,2.1123072,2.317904,2.4915352,2.6271284,-1.2846,-2.161184,-2.701,-3.033144,-3.2303708
50.9,0.019646365,4.94,13.3,32.4,0.030864198,4.4,2.732981,4.685857159,5.785594568,6.794949364,7.756856,8.533372773,9.121828614,9.71268725,5.878110286,9.170720571,10.913516,11.93299229,12.37145149,29.3822285,34.5433839,40.1022228,45.8698336,52.4531598,59.8639541,67.2641761,170.573386,152.097522,128.197306,101.765473,73.3000802,2.0138728,2.349164,2.6084176,2.8339352,3.0304192,3.2199636,3.367496,-1.756152,-2.534592,-2.978196,-3.225068,-3.3661192
40.3,0.024813896,5.8,12.3,98.1,0.01019368,1.38,3.293986,6.61878471,6.918952464,7.179827319,7.24977558,7.286763261,7.052185145,7.168343478,4.900425143,6.706743429,7.039222,7.329747771,7.232684514,40.8660771,50.4518456,60.0918383,69.9953097,79.9442667,90.2679845,100.107686,167.151488,143.473602,114.637277,85.6541172,55.3143958,1.297105067,1.3426124,1.361484267,1.3698648,1.3745272,1.3786748,1.383936,-2.412136,-3.141812,-3.409912,-3.4990704,-3.5317536
60.2,0.016611296,19.9,19,23,0.043478261,3.64,4.554168,7.647616071,9.889032005,11.98266475,13.93648418,15.71365115,17.40685563,18.98450915,8.313897429,14.61768629,19.55038086,23.43095229,26.56612429,22.1626775,24.0039235,26.3831003,29.2711976,32.8023098,36.6390455,40.8963867,179.098641,171.161902,158.426333,142.008333,122.981435,0.5778068,0.7779208,0.9678928,1.1470232,1.3190672,1.4767672,1.6278596,-0.657524,-1.231696,-1.712916,-2.087816,-2.381832
66.8,0.01497006,4.54,18.1,47.8,0.020920502,3.15,1.064894,6.961699778,8.42861546,9.761646889,10.7064493,11.54841857,12.137322,12.59346289,6.460249143,9.899550571,12.01616457,13.07275514,13.64657814,28.0706457,33.4498613,39.2508123,46.2746847,53.6224815,61.7674357,70.3305919,172.610872,154.648427,132.056576,105.754643,77.7630235,1.50361,1.8201664,2.0594984,2.2719192,2.4384868,2.5798108,2.6947548,-1.589516,-2.454188,-2.907952,-3.169976,-3.3096784
31.2,0.032051282,16.6,12.3,46.4,0.021551724,1.32,23.361136,12.40236689,14.31447955,15.59894826,16.29583553,17.08152083,17.33867091,17.69030394,6.953486286,11.17374571,13.98033171,15.52180514,16.20119743,33.6288757,41.104887,49.4093883,58.4894971,67.4523925,77.1129544,86.6487988,174.337202,159.10811,138.931161,114.326318,86.704191,0.95589,1.0686136,1.1441912,1.1973348,1.232819733,1.26046,1.2831612,-1.315498667,-2.136676,-2.663252,-3.030589333,-3.2754008
27.3,0.036630037,2.26,16.3,73,0.01369863,1,0.141139,10.6190008,11.0963378,11.6172774,11.5042994,11.8185371,11.72512,11.8575108,5.997219714,9.143479143,10.49241886,11.39368017,11.5530246,39.3809992,48.9036622,58.3827226,68.4957006,78.1814629,88.27488,98.1424892,170.990269,152.002177,126.723466,99.8778806,70.4355861,0.915292,0.9613016,0.981344267,0.9909892,0.995491733,0.998194933,1.0003988,-1.826682667,-2.653976,-3.092474667,-3.3045856,-3.417028
50.7,0.019723866,11.7,15.1,80,0.0125,3.59,13.775275,5.402355265,6.51214415,7.417910111,8.161652173,8.775832981,9.285770056,9.602002423,5.884718571,8.737843429,9.889867143,10.49252369,10.71411474,30.6055446,36.6214025,43.3697027,50.6996687,58.4947596,66.6640855,75.5288113,170.596515,150.582452,124.614535,96.7238329,67.4994016,2.0471164,2.3431224,2.5771508,2.7638236,2.9135748,3.0346004,3.1357072,-1.910124,-2.733068,-3.165884,-3.379262,-3.4881176
31.2,0.032051282,4.36,8.37,42.4,0.023584906,4.59,6.480326,4.384448388,5.359170196,6.080668954,6.651598584,7.20080634,7.76595488,8.054053028,5.678978571,8.051552,8.982865429,9.402580486,9.424848086,29.8753819,35.4014088,42.0897295,49.4691625,56.9482989,64.3542671,73.0318966,169.876425,148.180432,121.440029,92.9090317,62.9869683,2.418012,2.8158504,3.1544552,3.4184776,3.6311576,3.7895672,3.9313072,-2.047428,-2.893988,-3.267028,-3.4291608,-3.5014996
39.7,0.025188917,3.17,14.4,43,0.023255814,1.33,0.715872,10.22287647,11.36396331,11.82872398,12.37322887,12.64216654,12.9361691,13.0443982,6.014164,9.235994286,11.14881429,12.03058229,12.32590317,36.4035743,44.8859288,54.2677971,63.5436056,73.1859185,82.7948951,92.6509504,171.049574,152.32598,129.02085,102.107038,73.1406611,1.079584,1.1782608,1.2394776,1.274536,1.2959524,1.309467467,1.3187336,-1.735288,-2.549352,-2.9869,-3.237690667,-3.374494
51.5,0.019417476,5.78,15.3,56.7,0.017636684,2.03,2.904591,7.53639399,8.74299,9.502084433,10.12591025,10.46791749,10.80626296,10.93949271,5.729090571,8.582488857,9.976371714,10.72925889,10.97378137,34.7011202,42.2517303,50.7107686,59.4444022,68.7501275,78.0632862,87.7928298,170.051817,150.038711,124.917301,97.5524061,68.4082348,1.4646736,1.6316116,1.7507196,1.83172,1.890076,1.930622,1.9613032,-1.889888,-2.688172,-3.10418,-3.3180224,-3.4310112
50.5,0.01980198,10.5,18.9,51.7,0.01934236,2.97,3.826898,8.027709865,9.913828552,11.43342407,12.76561481,13.88809182,15.01817852,15.82375549,7.071229714,11.673152,14.43190457,16.408588,17.51178409,26.1577017,30.5559292,36.0427305,42.086124,48.7523673,55.3960098,63.0034462,174.749304,160.856032,140.511666,117.430058,91.2912443,1.1691772,1.445372,1.695584,1.89488,2.0632632,2.1958772,2.3179436,-1.242016,-2.042684,-2.582712,-2.915368,-3.1356272
94,0.010638298,4.83,15.4,63.3,0.015797788,4.21,2.295761,3.996954109,4.917666176,5.596909477,6.14326658,6.47841639,6.827963872,7.220527435,4.806399429,6.925578857,7.673037143,8.044033714,8.089693971,33.1728232,39.2966254,46.4370111,54.1368477,62.725867,71.2542721,79.6015795,166.822398,144.239526,116.85563,88.154118,58.3139289,2.5809496,2.878124,3.1451152,3.3533844,3.528784,3.6624104,3.7629608,-2.309024,-3.00662,-3.30676,-3.4310408,-3.4822804
72.1,0.013869626,7.14,19.3,46.2,0.021645022,4.5,1.659956,5.591649044,6.983764711,8.244480089,9.419701356,10.40242198,11.26529251,12.1057392,6.802539143,10.85245571,13.37528543,14.83843486,15.71773294,24.8375793,28.5730588,32.8998396,37.6113439,43.1891011,49.3061837,55.5241736,173.808887,157.983595,136.813499,111.934522,85.0120653,1.3992272,1.7785388,2.0966232,2.3642952,2.6168368,2.8352416,3.0298572,-1.394064,-2.22464,-2.725016,-3.026828,-3.2044976
